identifier	prefLabel	altLabel	description	historyNote
homoit0001385	Afrokanadische trans Personen	Trans afrokanadische Personen||Trans Afrokanadier:innen	Trans Personen afrikanischer Abstammung, die in Kanada geboren sind, oder trans Personen, die in afrikanischen Ländern geboren sind und in Kanada leben oder eine starke Verbindung zu dem Land haben. Nur für Personen verwenden, die sich selbst als afrokanadisch bezeichnen.	
homoit0002894	Afrokaribische asexuelle Personen	Asexuelle afrokaribische Personen||Asexuelle Afrokarib:innen	Asexuelle Personen afrikanischer Abstammung, die in der Karibik geboren sind, oder asexuelle Personen, die in afrikanischen Ländern geboren sind und in der Karibik leben oder eine starke Verbindung zur Karibik haben. Nur für Personen verwenden, die sich selbst als afrokaribisch bezeichnen.	
homoit0000125	Afrokaribische bisexuelle Personen	Bisexuelle afrokaribische Personen||Bisexuelle Afrokarib:innen	Bisexuelle Personen afrikanischer Abstammung, die in der Karibik geboren sind, oder bisexuelle Personen, die in afrikanischen Ländern geboren sind und in der Karibik leben oder eine starke Verbindung zur Karibik haben. Nur für Personen verwenden, die sich selbst als afrokaribisch bezeichnen.	
homoit0000465	Afrokaribische schwule Männer	Schwule afrokaribische Männer||Schwule Afrokarib:innen	Schwule Männer afrikanischer Abstammung, die in der Karibik geboren sind, oder schwule Männer, die in afrikanischen Ländern geboren sind und in der Karibik leben oder eine starke Verbindung zur Karibik haben. Nur für Personen verwenden, die sich selbst als afrokaribisch bezeichnen.	
homoit0002958	Afroamerikanische inter* Personen	Inter* afrokaribische Personen	Inter* Personen afrikanischer Abstammung, die in der Karibik geboren sind, oder inter* Personen, die in afrikanischen Ländern geboren sind und in der Karibik leben oder eine starke Verbindung zur Karibik haben. Nur für Personen verwenden, die sich selbst als afrokaribisch bezeichnen.	
homoit0000716	Afrokaribische Lesben	Lesbische Afrokarib:innen	Lesben afrikanischer Abstammung, die in der Karibik geboren sind, oder Lesben, die in afrikanischen Ländern geboren sind und in der Karibik leben oder eine starke Verbindung zur Karibik haben. Nur für Personen verwenden, die sich selbst als afrokaribisch bezeichnen.	
homoit0000017	Afrokaribische LGBTQ+-Personen	LGBTQ+-afrokaribische Personen	LGBTQ+-Personen afrikanischer Abstammung, die in der Karibik geboren sind, oder LGBTQ+-Personen, die in afrikanischen Ländern geboren sind und in der Karibik leben oder eine starke Verbindung zur Karibik haben. Nur für Personen verwenden, die sich selbst als afrokaribisch bezeichnen.	
homoit0001153	Afrokaribische queere Personen	Queere afrokaribische Personen||Queere Afrokarib:innen	Queere Personen afrikanischer Abstammung, die in der Karibik geboren sind, oder queere Personen, die in afrikanischen Ländern geboren sind und in der Karibik leben oder eine starke Verbindung zur Karibik haben. Nur für Personen verwenden, die sich selbst als afrokaribisch bezeichnen.	
homoit0001386	Afrokaribische trans Personen	Trans afrokaribische Personen||Trans Afrokarib:innen	Trans Personen afrikanischer Abstammung, die in der Karibik geboren sind, oder trans Personen, die in afrikanischen Ländern geboren sind und in der Karibik leben oder eine starke Verbindung zur Karibik haben. Nur für Personen verwenden, die sich selbst als afrokaribisch bezeichnen.	
homoit0002896	Afroeuropäische asexuelle Personen	Asexuelle afroeuropäische Personen	Asexuelle Personen afrikanischer Abstammung, die in europäischen Ländern geboren sind, oder asexuelle Personen, die in afrikanischen Ländern geboren sind und in Europa leben oder eine starke Verbindung zu Europa haben. Nur für Personen verwenden, die sich selbst als afroeuropäisch bezeichnen.	
homoit0000126	Afroeuropäische bisexuelle Personen	Bisexuelle afroeuropäische Personen	Bisexuelle Personen afrikanischer Abstammung, die in europäischen Ländern geboren sind, oder Bisexuelle Personen, die in afrikanischen Ländern geboren sind und in Europa leben oder eine starke Verbindung zu Europa haben. Nur für Personen verwenden, die sich selbst als afroeuropäisch bezeichnen.	
homoit0000466	Afroeuropäische schwule Männer	Schwule afroeuropäische Männer	Schwule Männer afrikanischer Abstammung, die in europäischen Ländern geboren sind, oder schwule Männer, die in afrikanischen Ländern geboren sind und in Europa leben oder eine starke Verbindung zu Europa haben. Nur für Personen verwenden, die sich selbst als afroeuropäisch bezeichnen.	
homoit0002959	Afroeuropäische inter* Personen	Inter* afroeuropäische Personen	Inter* Personen afrikanischer Abstammung, die in europäischen Ländern geboren sind, oder inter* Personen, die in afrikanischen Ländern geboren sind und in Europa leben oder eine starke Verbindung zu Europa haben. Nur für Personen verwenden, die sich selbst als afroeuropäisch bezeichnen.	
homoit0000717	Afroeuropäische Lesben	Lesbische Afroeuropäerinnen	Lesben afrikanischer Abstammung, die in europäischen Ländern geboren sind, oder Lesben Menschen, die in afrikanischen Ländern geboren sind und in Europa leben oder eine starke Verbindung zu Europa haben. Nur für Personen verwenden, die sich selbst als afroeuropäisch bezeichnen.	
homoit0000018	Afroeuropäische LGBTQ+-Personen	LGBTQ+- afroeuropäische Personen	LGBTQ+-Personen afrikanischer Abstammung, die in europäischen Ländern geboren sind, oder LGBTQ+-Personen, die in afrikanischen Ländern geboren sind und in Europa leben oder eine starke Verbindung zu Europa haben. Nur für Personen verwenden, die sich selbst als afroeuropäisch bezeichnen.	
homoit0001154	Afroeuropäische queere Personen	Queere afroeuropäische Personen	Queere Personen afrikanischer Abstammung, die in europäischen Ländern geboren sind, oder queere Personen, die in afrikanischen Ländern geboren sind und in Europa leben oder eine starke Verbindung zu Europa haben. Nur für Personen verwenden, die sich selbst als afroeuropäisch bezeichnen.	
homoit0001387	Afroeuropäische trans Personen	Trans afroeuropäische Personen	Transgender Personen afrikanischer Abstammung, die in europäischen Ländern geboren sind, oder transgenderPersonen, die in afrikanischen Ländern geboren sind und in Europa leben oder eine starke Verbindung zu Europa haben. Nur für Personen verwenden, die sich selbst als afroeuropäisch bezeichnen.	
homoit0002898	Afrolateinamerikanische asexuelle-Personen	Asexuelle afrolateinamerikanische Personen	Asexuelle Personen afrikanischer Abstammung, die in lateinamerikanischen Ländern geboren sind, oder asexuelle Personen, die in afrikanischen Ländern geboren sind und in lateinamerikanischen Ländern leben oder eine starke Verbindung zu lateinamerikanischen Ländern haben. Nur für Personen verwenden, die sich selbst als afrolateinamerikanisch bezeichnen.	
homoit0000127	Afrolateinamerikanische bisexuelle Personen	Bisexuelle afrolateinamerikanische Personen	Bisexuelle Personen afrikanischer Abstammung, die in lateinamerikanischen Ländern geboren sind, oder bisexuelle Personen, die in afrikanischen Ländern geboren sind und in lateinamerikanischen Ländern leben oder eine starke Verbindung zu lateinamerikanischen Ländern haben. Nur für Personen verwenden, die sich selbst als afrolateinamerikanisch bezeichnen.	
homoit0000467	Afrolateinamerikanische schwule Männer	Schwule afrolateinamerikanische Männer	Schwule Männer afrikanischer Abstammung, die in lateinamerikanischen Ländern geboren sind, oder schwule Männer, die in afrikanischen Ländern geboren sind und in lateinamerikanischen Ländern leben oder eine starke Verbindung zu lateinamerikanischen Ländern haben. Nur für Personen verwenden, die sich selbst als afrolateinamerikanisch bezeichnen.	
homoit0002960	Afrolateinamerikanische inter* Personen	Inter* afrolateinamerikanische Personen	Inter* Personen afrikanischer Abstammung, die in lateinamerikanischen Ländern geboren sind, oder inter* Personen, die in afrikanischen Ländern geboren sind und in lateinamerikanischen Ländern leben oder eine starke Verbindung zu lateinamerikanischen Ländern haben. Nur für Personen verwenden, die sich selbst als afrolateinamerikanisch bezeichnen.	
homoit0000718	Afrolateinamerikanische Lesben	Lesbische afrolateinamerikanische Personen	Lesbische Personen afrikanischer Abstammung, die in lateinamerikanischen Ländern geboren sind, oder lesbische Personen, die in afrikanischen Ländern geboren sind und in lateinamerikanischen Ländern leben oder eine starke Verbindung zu lateinamerikanischen Ländern haben. Nur für Personen verwenden, die sich selbst als afrolateinamerikanisch bezeichnen.	
homoit0000019	Afrolateinamerikanische LGBTQ+-Personen	LGBTQ+- afrolateinamerikanische Personen	LGBTQ+-Personen afrikanischer Abstammung, die in lateinamerikanischen Ländern geboren sind, oder LGBTQ+-Personen, die in afrikanischen Ländern geboren sind und in lateinamerikanischen Ländern leben oder eine starke Verbindung zu lateinamerikanischen Ländern haben. Nur für Personen verwenden, die sich selbst als afrolateinamerikanisch bezeichnen.	
homoit0001155	Afrolateinamerikanische queere Personen	Queere afrolateinamerikanische Personen	Queere Personen afrikanischer Abstammung, die in lateinamerikanischen Ländern geboren sind, oder queere Personen, die in afrikanischen Ländern geboren sind und in lateinamerikanischen Ländern leben oder eine starke Verbindung zu lateinamerikanischen Ländern haben. Nur für Personen verwenden, die sich selbst als afrolateinamerikanisch bezeichnen.	
