identifier	prefLabel	altLabel	description	historyNote
homoit0003285	Lesbianas indígenas centroamericanas	Centroamericanas indígenas lesbianas||Lesbianas centroamericanas indígenas	Mujeres que forman parte de los pueblos originarios de Centroamérica y se autoidentifican como lesbianas.	
homoit0003280	Personas indígenas LGBTQ+ centroamericanas	Personas centroamericanas indígenas LGBTQ+||Personas LGBTQ+ centroamericanas indígenas||Personas LGBTQ+ indígenas centroamericanas	Personas que forman parte de los pueblos originarios de Centroamérica y se autoidentifican como LGBTQ. Utilice términos más específicos siempre que sea posible.	
homoit0003290	Personas indígenas megasexuales centroamericanas	Personas centroamericanas indígenas megasexuales||Personas megasexuales centroamericanas indígenas||Indígenas megasexuales centroamericanas||Centroamericanas indígenas megasexuales||Megasexuales centroamericanas indígenas||Indígenas megasexuales centroamericanos||Centroamericanos indígenas megasexuales||Megasexuales centroamericanos indígenas||	Personas que forman parte de los pueblos originarios de Centroamérica y se autoidentifican como megasexuales.	
homoit0003288	Personas indígenas no binarixs centroamericanas	Personas centroamericanas indígenas no binarias||Personas no binarias centroamericanas indígenas||Personas centroamericanas indígenas no binarias||Personas no binarias centroamericanas indígenas	Personas que forman parte de los pueblos originarios de Centroamérica y se autoidentifican como no binarixs.	
homoit0003286	Personas indígenas queer centroamericanas	Personas centroamericanas indígenas queer||Personas queer centroamericanas indígenas||Indígenas queer centroamericanas||Centroamericanas indígenas queer||Queer centroamericanas indígenas||Indígenas queer centroamericanos||Centroamericanos indígenas queer||Queer centroamericanos indígenas||	Personas que forman parte de los pueblos originarios de Centroamérica y se autoidentifican como queer.	
homoit0003287	Personas indígenas transgénero centroamericanas	Personas centroamericanas indígenas transgénero||Personas transgénero centroamericanas indígenas||Personas centroamericanas indígenas trans||Personas trans centroamericanas indígenas||Personas indígenas trans centroamericanas||Centroamericanas indígenas trans||Trans centroamericanas indígenas||Indígenas trans centroamericanas||Centroamericanos indígenas trans||Trans centroamericanos indígenas||Indígenas trans centroamericanos	Personas que forman parte de los pueblos originarios de Centroamérica y se autoidentifican como transgénero.	
homoit0003401	Personas no binarixs chakma	Personas chakma no binarias||Chakmas no binarixs||No binarixs chakmas	Personas no binarias que pertenecen o son descendientes del grupo tribal chakma.	
homoit0000252	Arneses de pecho		Accesorios que se pueden llevar, normalmente compuestos por correas de cuero y anillas o puntos de sujeción metálicos, que se ajustan alrededor del pecho y los hombros como un chaleco. Pueden llevarse como una declaración de moda, para señalar la pertenencia a las comunidades del cuero o BDSM, o para restringir el movimiento del usuario durante las relaciones sexuales.	
homoit0003402	Personas no binarixs chicanas	Chicanxs no binarixs||Personas chicanas no binarias	Personas no binarias de ascendencia mexicana nacidas en Estados Unidos; utilícese únicamente para describir a personas que se autoidentifican como chicanxs. No se debe confundir con latinxs o hispanxs.	
homoit0003433	Contenido de abuso sexual infantil	Contenido de abuso sexual contra menores	Imágenes y vídeos que muestran a niños y jóvenes menores a la edad de consentimiento participando en actividades sexuales. Aunque este término no entra en el ámbito del vocabulario de Homosaurus, se ofrece como alternativa a términos de uso común como «pornografía infantil» con el fin de resaltar que la producción de tales materiales es un producto directo del abuso sexual de menores y contribuye al mismo.	
homoit0003403	Personas no binarixs en el clóset	Personas no binarias en el clóset||No binarios en el clóset||No binarixs en el clóset	Personas no binarias que no se autoidentifican como tales ante los demás.	
homoit0000294	Collares	Collars||Collar	Correas o bandas de tela que se llevan alrededor del cuello. Pueden llevarse como adorno de moda, como señal de «propiedad» por parte de una pareja dominante en el contexto de una relación BDSM, o durante las relaciones sexuales para restringir el movimiento y el control de la respiración de quien las lleva.	
homoit0000303	Terapia de conversión de género	Terapia de conversion de género||Terapia de conversión para personas trans||Terapia de conversación para personas transgénero||Terapia de reorientacion de género||Terapia de conversión trans||Terapia de conversión transgénero	Esfuerzos por cambiar la identidad de género de una persona transgénero o no binaria para que se ajuste a las normas cisgénero, normalmente bajo la creencia de que su identidad es peligrosa y/o el resultado de una enfermedad mental o un trauma. Los procesos implicados en la terapia de conversión incluyen entrenamiento de visualización, intervenciones espirituales y otros tratamientos de aversión.	
homoit0002288	Cookie dusters	Pussy dusters	Término del argot para designar bigotes o vello facial en el labio superior, particularmente el de las lesbianas.	
homoit0001891	Crip	Disca	Forma abreviada de la palabra en inglés "cripple", lisiada/o, que ha sido recuperada por las personas con discapacidad para expresar su orgullo e identificar sus vínculos políticos y comunitarios. Se debe utilizar únicamente en referencia a personas u organizaciones que se autoidentifican como "crip". Debido a las numerosas intersecciones entre la teoría/cultura crip y la teoría/cultura queer, ambas suelen considerarse relacionadas, aunque no siempre.	
homoit0003500	Danmei		Género literario que se centra en las relaciones románticas o sexuales entre personajes masculinos en novelas, cómics, películas, animación y dramas chinos.	
homoit0003404	Hijas de personas no binarixs	Hijas de personas no binarias	Hijas que tienen unx o más padrxs no binarixs.	
homoit0003440	Pintores demisexuales	Pintoras demisexuales	Personas demisexuales que pintan, ya sea profesionalmente o por afición.	
homoit0003457	Fotógrafos demisexuales	Fotógrafas demisexuales	Personas demisexuales que toman fotografías, ya sea profesionalmente o por afición.	
homoit0003204	Solidaridad demisexual		Un sentido de compañerismo y unidad general de propósito, interés político y/o simpatías comunitarias basadas en experiencias compartidas como personas demisexuales.	
homoit0003251	Docentes demisexuales	Profesoras demisexuales||Profesores demisexuales	Docentes o profesores que se autoidentifican como demisexuales.	
homoit0003353	Unitarios universalistas demisexuales	Personas unitarias universalistas demisexuales	Personas demisexuales que son miembros de la Iglesia Unitaria Universalista.	
homoit0003218	Stios web demisexuales		Páginas web públicas que tratan principalmente sobre comunidades y temas demisexuales, así como páginas web destinadas a personas demisexuales.	
homoit0003405	Personas no binarixs dogra	Personas no binarias dogra	Personas no binarias que pertenecen al pueblo dogra de India y Pakistán, y hablan el idioma dogrí.	
