identifier	prefLabel	altLabel	description	historyNote
homoit0002897	Latino/a/x aseksuele personen	Aseksuele Latine personen||Aseksuele Latino's||Aseksuele Latinx personen||Latina aseksuele personen||Latine aseksuele personen||Latino aseksuele personen||Latinx aseksuele personen	Latijns-Amerikaanse personen die aseksueel zijn; alleen gebruiken om personen te beschrijven die zichzelf identificeren als Latino, Latina of Latinx. Niet verwarren met Chicano/a/x of Hispanic.	
homoit0002898	Afro-Latijns-Amerikaanse aseksuele personen		Aseksuele mensen van Afrikaanse afkomst geboren in Latijns-Amerikaanse landen of aseksuele mensen geboren in Afrikaanse landen die in Latijns-Amerika wonen of daar een sterke band mee hebben. Alleen gebruiken voor personen die zichzelf identificeren als Afro-Latijns-Amerikaan.	
homoit0000155	Latino/a/x biseksuele personen	Biseksuele Latino's||Biseksuele Latinx personen||Latina biseksuelen||Latino biseksuelen||Latino/a/x biseksuelen||Latinx biseksuelen	Latijns-Amerikaanse mensen die biseksueel zijn; alleen gebruiken om personen te beschrijven die zichzelf identificeren als Latino, Latina of Latinx. Niet verwarren met Chicano/a/x of Hispanic	
homoit0000498	Latino/a/x homomannen	Homo-Latinx||Latino homomannen||Latinx homomannen	Latijns-Amerikaanse homomannen; alleen gebruiken om personen te beschrijven die zichzelf identificeren als Latino, Latina of Latinx. Niet verwarren met Chicano/a/x of Hispanic	
homoit0002769	Latino/a/x intersekse personen	Intersekse Latine personen||Intersekse Latino's||Intersekse Latinx personen||Latina intersekse personen||Latine intersekse personen||Latino intersekse personen||Latinx intersekse personen		
homoit0002960	Afro-Latijns-Amerikaanse intersekse personen	Afro-Latine intersekse personen||Afro-Latino intersekse personen||Afro-Latino/a/x intersekse personen||Afro-Latinx intersekse personen||Intersekse Afro-Latijns-Amerikanen||Intersekse Afro-Latinas||Intersekse Afro-Latine personen||Intersekse Afro-Latinos||Intersekse Afro-Latinx personen	Intersekse mensen van Afrikaanse afkomst geboren in Latijns-Amerikaanse landen of intersekse mensen geboren in Afrikaanse landen die in Latijns-Amerika wonen of daar een sterke band mee hebben. Alleen gebruiken voor personen die zichzelf identificeren als Afro-Latijns-Amerikaan.	
homoit0000747	Latino/a/x lesbische vrouwen	Latino lesbische vrouwen||Latinx lesbische vrouwen||Lesbische Latina's||Lesbische Latino's||Lesbische Latinx	Latijns-Amerikaanse personen die lesbisch zijn; alleen gebruiken om personen te beschrijven die zichzelf identificeren als Latino, Latina of Latinx. Niet verwarren met Chicano/a/x of Hispanic	
homoit0003419	Latino/a/x non-binaire personen	Latina nonbinaire personen||Latino non-binaire personen||Latino nonbinaire personen||Latino/a/x nonbinaire personen||Latinx non-binaire personen||Latinx nonbinaire personen||Non-binaire Latina's||Non-binaire Latino's||Non-binaire Latino/a/x personen||Non-binaire Latinx||Nonbinaire Latina's||Nonbinaire Latino's||Nonbinaire Latino/a/x personen||Nonbinaire Latinx	Latijns-Amerikaanse personen die non-binair zijn; alleen gebruiken om individuen te beschrijven die zichzelf identificeren als Latino, Latina of Latinx. Niet verwarren met Chicano/a/x of Hispanic.	
homoit0001181	Latino/a/x queer personen	Latino queer personen||Latinx queer personen||Queer Latina's||Queer Latino's||Queer Latinx personen	Latijns-Amerikaanse personen die queer zijn; alleen gebruiken om personen te beschrijven die zichzelf identificeren als Latino, Latina of Latinx. Niet verwarren met Chicano/a/x of Hispanic	
homoit0001417	Latino/a/x transgender personen	Latino transgender personen||Latinx transgender personen||Transgender Latina's||Transgender Latino's||Transgender Latinx personen	Latijns-Amerikaanse personen die transgender zijn; alleen gebruiken om personen te beschrijven die zichzelf identificeren als Latino, Latina of Latinx. Niet verwarren met Chicano/a/x of Hispanic	
homoit0001101	LHBTQ+-personen van kleur	Personen van kleur (LHBTQ+)||POC (LHBTQ+)	LHBTQ+-personen die niet wit zijn en zich identificeren als personen van kleur.	
homoit0002009	Arabische LHBTQ+-personen	Arabische personen (LHBTQ+)||LHBTQ+-Arabieren||LHBTQ+-Arabische personen	LHBTQ+-personen die uit Arabische landen komen, Arabisch spreken en/of afstammen van Arabische volkeren. Niet verwarren met moslimidentiteit	
homoit0002802	Aseksuele personen van kleur		Aseksuele personen die niet wit zijn en die zich identificeren als personen van kleur.	
homoit0002902	Aziatisch-Amerikaanse aseksuele personen		Aseksuele personen van Aziatische afkomst geboren in de Verenigde Staten of biseksuele personen geboren in Aziatische landen die wonen in of een sterke band hebben met de Verenigde Staten. Gebruiken voor personen die zichzelf identificeren als Aziatisch-Amerikaans	
homoit0002901	Aziatische aseksuele personen		Aseksuele personen geboren in of afstammend van Aziatische landen; gebruiken voor personen die zichzelf identificeren als Aziatisch	
homoit0002060	Assamese LHBTQ+-personen	Assamezen (LHBTQ+)||LHBTQ+ Asomiya||LHBTQ+ Assamezen	LHBTQ+-personen die deel uitmaken van de sociaal-etnische Assamese volkeren, de Assamese taal spreken of in de Indiase deelstaat Assam wonen	
homoit0002070	Awadhi LHBTQ+-personen	Awadhi's (LHBTQ+)||LHBTQ+-Awadhi personen||LHBTQ+-Awadhi's	LHBTQ+-personen die het Awadhi-dialect spreken en wonen in de Awadh-regio van Uttar Pradesh of daarvan afstammen	
homoit0000074	Aziatische LHBTQ+-personen	Aziatische personen (LHBTQ+)||LHBTQ+-Aziaten||LHBTQ+-Aziatische personen	LHBTQ+-personen geboren in of afstammend van Aziatische landen; gebruiken voor mensen die zichzelf identificeren als Aziatisch	
homoit0002086	Bengaalse LHBTQ+-personen	LHBTQ+ Bengalezen	LHBTQ+-personen die de Bengaalse taal spreken of van Bengaalse afkomst zijn. Tevens verwijzing naar Bengaalse LHBTQ+-personen wanneer een persoon zowel de Bengaalse etniciteit als de Bengaalse nationaliteit heeft	
homoit0002094	Bhil LHBTQ+-personen	LHBTQ+-Bhils	LHBTQ+-personen die de Bhil-taal spreken en behoren tot of afstammen van de Bhil-stamgroep	
homoit0002078	Bhojpuri LHBTQ+-personen	LHBTQ+ Bhojpuriya's	LHBTQ+-personen die de Bhojpuri-taal spreken en wonen in of afstammen van degenen die de Bhojpuri-Purvanchal-regio van India en Nepal bewoonden	
homoit0000820	Biraciale LHBTQ+-personen	Bi-raciale personen (LHBTQ+)||Biraciale personen (LHBTQ+)||LHBTQ+-bi-raciale personen||LHBTQ+-biraciale personen	LHBTQ+-personen die tot twee of meer raciale groepen behoren. Gebruik alleen voor personen die zich als biracial identificeren.	
homoit0000172	Biseksuele personen van kleur		Biseksuele personen die niet wit zijn en die zich identificeren als personen van kleur.	
homoit0000130	Aziatisch-Amerikaanse biseksuele personen	Biseksuele Aziatisch-Amerikanen	Biseksuele personen van Aziatische afkomst geboren in de Verenigde Staten of biseksuele personen geboren in Aziatische landen die wonen in of een sterke band hebben met de Verenigde Staten. Gebruiken voor personen die zichzelf identificeren als Aziatisch-Amerikaans	
homoit0000155	Latino/a/x biseksuele personen	Biseksuele Latino's||Biseksuele Latinx personen||Latina biseksuelen||Latino biseksuelen||Latino/a/x biseksuelen||Latinx biseksuelen	Latijns-Amerikaanse mensen die biseksueel zijn; alleen gebruiken om personen te beschrijven die zichzelf identificeren als Latino, Latina of Latinx. Niet verwarren met Chicano/a/x of Hispanic	
homoit0000135	Zwarte biseksuele personen	Zwarte biseksuelen	Zwarte mensen die biseksueel zijn. Alleen gebruiken voor personen die zichzelf als zwart identificeren. Volg waar mogelijk de voorkeur van de persoon voor een Afrikaanse diaspora-identiteit of een zwarte identiteit.	
homoit0000123	Afrikaans-Amerikaanse biseksuele personen		Biseksuele personen van Afrikaanse afkomst geboren in de Verenigde Staten of biseksuele personen geboren in Afrikaanse landen die wonen in of een sterke band hebben met de Verenigde Staten. Gebruik voor personen die zichzelf identificeren als Afro-Amerikaan. Volg waar mogelijk de voorkeur van de persoon voor Afro-Amerikaans of zwart.	
homoit0000124	Afro-Canadese biseksuele personen		Biseksuele personen van Afrikaanse afkomst geboren in Canada of biseksuele personen geboren in Afrikaanse landen die wonen in of een sterke band hebben met Canada. Gebruik voor personen die zichzelf identificeren als Afro-Canadees	
homoit0000125	Afro-Caribische biseksuele personen	Biseksuele Afro-Caribische personen||Biseksuele Afro-Caribiërs	Biseksuele personen van Afrikaanse afkomst geboren in het Caribisch gebied of biseksuele personen geboren in Afrikaanse landen die wonen in of een sterke band hebben met het Caribisch gebied. Gebruik voor personen die zichzelf identificeren als Afro-Caribisch	
homoit0000126	Afro-Europese biseksuele personen		Biseksuele personen van Afrikaanse afkomst geboren in Europese landen of biseksuele personen geboren in Afrikaanse landen die in Europa wonen of een sterke band hebben met Europa. Gebruik voor personen die zichzelf identificeren als Afro-Europeaan	
homoit0000127	Afro-Latijns-Amerikaanse biseksuele personen		Biseksuele personen van Afrikaanse afkomst geboren in Latijns-Amerikaanse landen of biseksuele personen geboren in Afrikaanse landen die wonen in of een sterke band hebben met Latijns-Amerika. Gebruik voor personen die zichzelf identificeren als Afro-Latijns-Amerikaans	
homoit0002102	Chakma LHBTQ+-personen		LHBTQ+-personen die behoren tot of afstammen van de Chakma tribale groep	
homoit0002126	Dogra LHBTQ+-personen	LHBTQ+ Dogra's	LHBTQ+-personen die tot de Dogra-bevolking van India en Pakistan behoren en de Dogri-taal spreken	
homoit0002134	Garhwali LHBTQ+-personen	LHBTQ+ Garhwalis	LHBTQ+-personen die behoren tot of afstammen van de inwoners van Garhwal in Uttarakhand en die Garhwali spreken	
homoit0002231	Gujarati LHBTQ+-personen	LHBTQ+-Gujarati's	LHBTQ+-personen die wonen in of afstammen van de inheemse bevolking van de Indiase deelstaat Gujarat	
homoit0002239	Haryanvi LHBTQ+-personen	LHBTQ+ Haryanvi's	LHBTQ+-personen die wonen in of afstammen van degenen in wat nu de Indiase deelstaat Haryana is.	
homoit0000508	Homomannen van kleur		Homomannen die niet wit zijn en die zich identificeren als personen van kleur.	
