prefLabel (English),Translation prefLabel (Spanish),Identifier,altLabel (English),Translation altLabel (Spanish),Description/Scope Note (English),Description/Scope Note (Spanish),translationNote,historyNote (English),historyNote (Spanish),"Comments (Ernesto, postdoc)"
Bisexual artists,Artistas bisexuales,homoit0000129,,,Artists who are known to be bisexual.,Artistas conocidos por ser bisexuales.,,,,"--> SN ES, check FGG and GNL."
Bisexual atheists,Ateos bisexuales,homoit0000132,,,Bisexual people who are atheists.,Personas bisexuales que son ateas.,,,,"--> prefLabel ES, check FGG and GNL"
Bisexual athletes,Atletas bisexuales,homoit0001932,"Bisexual sports players||
Bisexual sportspeople||
Bisexual sportspersons","Jugadores deportivos bisexuales|| 
Jugadoras deportivas bisexuales|| 
Deportistas bisexuales",Professional or amateur/recreational sports players who are bisexual.,Deportistas profesionales o aficionados/recreativos que sean bisexuales.,,,,"--> altLabel ES and SN ES, check FGG and GNL"
Bisexual authors,Autores bisexuales,homoit0001726,,,Creators of written works who are known to be bisexual.,Creadores de obras escritas conocidos por ser bisexuales.,,,,"--> altLabel ES and SN ES, check FGG and GNL
--> I've standarized SN EN ""known to be"" to ""conocidos por ser"" in ES, in this and following terms including such phrasing."
Bisexual autistic people,Personas bisexuales autistas ,homoit0002670,Bisexual people with autism,"Personas bisexuales con autismo||
Personas autistas bisexuales",Bisexual people who are autistic.,Personas bisexuales que son autistas.,,,,
Bisexual autobiographies,Autobiografías bisexuales,homoit0001732,"Bisexual autobios||
Bisexual memoirs",,Accounts of individuals' lives written by those individuals; use for autobiographies written by bisexual authors.,Relatos de vida de personas escritos por esas mismas personas; utilícese para autobiografías escritas por autores bisexuales.,,,,
Bisexual bars,Bares bisexuales,homoit0000133,,Barras bisexuales,Drinking establishments that primary cater to bisexual people.,Establecimientos para beber que atienden principalmente a personas bisexuales.,,,,"--> prefLabel ES, I strongly disagree with using ""Barras"" here, ""bares"" works better, so ""barras"" (though sounding foreign to me) can be an altLabel ES
--> I don't think ""bars"" can function as altLabel ES"
Bisexual beaches,Playas bisexuales,homoit0000134,,,Beaches set aside for use by bisexual people or beaches known to be frequented by bisexual people.,Playas reservadas para el uso de personas bisexuales o playas conocidas por ser frecuentadas por personas bisexuales.,,,,
Bisexual biographies,Biografías bisexuales,homoit0001617,,,Written accounts of the lives of people known to be bisexual.,Relatos escritos de la vida de personas conocidas por ser bisexuales.,,,,"--> There's need for standarization for all SN terms containing the words ""biographies"" and ""autobiographies"". I concur with Ana."
Bisexual blind people,Personas bisexuales ciegas ,homoit0001874,Blind bisexual people,"Personas ciegas bisexuales||
Ciegos bisexuales||
Ciegas bisexuales",Bisexual people with significant or total loss of vision.,Personas bisexuales con pérdida significativa o total de la visión.,,,,"--> I agree with Sara, we should add ""Personas ciegas bisexuales"" as altLabel ES"
Bisexual bookshops,Librerías bisexuales,homoit0000136,,,Bookshops that sell materials intended for use by bisexual people or addressing topics related to bisexuality.,Librerías que venden materiales destinados a personas bisexuales o que abordan temas relacionados con la bisexualidad.,,,,
Bisexual boys,Niños bisexuales,homoit0000137,,,Boys (typically children younger than 18) who are bisexual.,Niños (normalmente menores de 18 años) que son bisexuales.,,,,
Bisexual Buddhists,Budistas bisexuales,homoit0000138,,,Bisexual people who are Buddhist.,Personas bisexuales que son budistas.,,,,
Bisexual characters,Personajes bisexuales ,homoit0000139,,,Characters in creative works who are bisexual.,Personajes en obras creativas que son bisexuales.,,,,
Bisexual chefs,Cocineros bisexuales,homoit0001774,,"Chefs bisexuales||
Cocineras bisexuales","Bisexual people who are trained, professional cooks, typically holding a leadership role in the kitchens in which they are employed.","Personas bisexuales que son cocineras profesionales y capacitadas, quienes normalmente desempeñan un papel de liderazgo en las cocinas en las que trabajan.",,,,"--> I agree with Ana, we should include ""Chef bisexuales"" as altLabel ES
--> Check FGG and GNL for altLabel ES"
Bisexual children,Niños bisexuales,homoit0000140,,"Niñas bisexuales||
Niñxs bisexuales",Bisexual people who have not yet reached the age of adolescence.,Niños menores de 18 años que se autoidentifican como bisexuales.,,,,"--> I agree with Sara for prefLabel ES, ""Niñas y niños bisexuales"", though we can create an additional prefLabel, ""Niñas bisexuales"" also"
Bisexual Christians,Cristianos bisexuales,homoit0000141,,"Cristianas bisexuales||
Cristianxs bisexuales",Bisexual people who are Christian.,Personas bisexuales que son cristianas.,,,,--> FGG and GNL for altLabel ES?
Bisexual clergy,Clero bisexual,homoit0000142,,,"Bisexual people who are ordained for religious duties, particularly in the Christian Church.","Personas bisexuales que son ordenadas para deberes religiosos, particularmente en la Iglesia cristiana.",,,,
Bisexual college students,Estudiantes universitarios bisexuales,homoit0003035,,,Bisexual people who are attending college.,Personas bisexuales que asisten a la universidad.,,,,--> FGG and GNL for altLabel ES?
Bisexual comedians,Comediantes bisexuales,homoit0002704,Bisexual comics (Persons),"Cómicos bisexuales||
Cómicas bisexuales","Bisexual people who seek to entertain an audience by making them laugh, through jokes, slapstick, employing prop comedy, or other amusing means.","Personas bisexuales que buscan entretener a una audiencia haciéndolas reír, mediante bromas, payasadas, empleando comedia de utilería u otros medios de entretenimiento.",,,,--> FGG and GNL for altLabel ES?
Bisexual comics,Cómics bisexuales,homoit0001589,,Historietas bisexuales,Works consisting of sequential images often accompanied by text; use in reference to comics focusing on bisexual characters or themes.,"Obras que consisten en imágenes secuenciales, a menudo acompañadas de texto; utilícese en referencia a cómics que se centran en personajes o temas bisexuales.",,,,
Bisexual community,Comunidad bisexual,homoit0000143,,,Groups of people who share the experience of being bisexual.,Grupos de personas que comparten la experiencia de ser bisexual.,,,,
Bisexual community centers,Centros comunitarios bisexuales,homoit0000144,,,"Spaces in which people from bisexual communities meet for social, education, recreational, or organizing activities.","Espacios en los que personas de comunidades bisexuales se reúnen para actividades sociales, educativas, recreativas u organizativas.",,,,
Bisexual couples,Parejas bisexuales,homoit0000145,,,Partnerships in which both people are bisexual.,Relaciones en las que ambas personas son bisexuales.,,,,
Bisexual culture,Cultura bisexual,homoit0001833,,,"Use to describe cultural experiences shared by members of bisexual communities or products of bisexual culture (e.g., art and media created by and for bisexual people, activism focused on bisexual issues, slang commonly used in bisexual communities, etc.).","Utilícese para describir experiencias culturales compartidas por miembros de comunidades bisexuales o productos de la cultura bisexual (p. ej., arte y medios creados por y para personas bisexuales, activismo centrado en cuestiones bisexuales, jerga comúnmente utilizada en comunidades bisexuales, etc.).",,,,
Bisexual daughters,Hijas bisexuales,homoit0000146,,,Daughters who identify as bisexual.,Hijas que se autoidentifican como bisexuales.,,,,
