Identifier | Translation prefLabel (Spanish) | Translation altLabel (Spanish) | Description/Scope Note (Spanish)
homoit0001572 | Ciencia ficción bisexual |   | Obras literarias escritas sobre conceptos imaginativos o futuristas que incorporen la ciencia, la tecnología, el espacio, los viajes en el tiempo y otros elementos especulativos; utilícese en referencia a la ciencia ficción centrada en personajes o temas bisexuales.
homoit0001611 | Cuentos cortos bisexuales | Relatos bisexuales | Obras literarias escritas que son breves y detallan un incidente o concepto autónomo; utilícese en referencia a historias cortas que se centren en personajes o temas bisexuales.
homoit0000185 | Jerga bisexual | Argot bisexual\|\| Habla bisexual\|\| Modismos bisexuales | Lenguaje coloquial o informal relacionado con la bisexualidad o utilizado por personas bisexuales.
homoit0000186 | Hijos bisexuales |   | Hijos que se autoidentifican como bisexuales.
homoit0000187 | Estudios bisexuales |   | Campo académico de investigación y estudio sobre la bisexualidad, personas bisexuales y comunidades bisexuales.
homoit0002001 | Sobrevivientes bisexuales de acoso |   | Personas bisexuales que han sufrido y sobrevivido al acoso por su identidad sexual; siga la preferencia del individuo sobre el uso de "víctimas" o "sobrevivientes" siempre que sea posible.
homoit0000188 | Sobrevivientes bisexuales de crímenes de odio |   | Personas bisexuales que han sufrido y sobrevivido crímenes de odio; siga la preferencia del individuo sobre el uso de "víctimas" o "sobrevivientes" siempre que sea posible.
homoit0000189 | Sobrevivientes bisexuales de violación |   | Personas bisexuales que han sufrido y sobrevivido una violación; siga la preferencia del individuo sobre el uso de "víctimas" o "sobrevivientes" siempre que sea posible.
homoit0000190 | Sobrevivientes bisexuales de abuso sexual |   | Personas bisexuales que han sufrido y sobrevivido abuso sexual; siga la preferencia del individuo sobre el uso de "víctimas" o "sobrevivientes" siempre que sea posible.
homoit0000191 | Sobrevientes bisexuales de guerra |   | Personas bisexuales que han sufrido y sobrevivido la guerra; siga la preferencia del individuo sobre el uso de "víctimas" o "sobrevivientes" siempre que sea posible.
homoit0000193 | Televisión bisexual |   | Programas de televisión con personajes o temas bisexuales.
